index,na_x,na_y
758,-0.163000,-0.720000
759,0.163000,0.720000
760,0.720000,-0.163000
761,-0.482000,0.568000
762,0.568000,-0.482000
763,0.482000,0.568000
764,-0.482000,-0.568000
765,0.568000,0.482000
766,0.482000,-0.568000
767,-0.568000,-0.482000
768,-0.568000,0.482000
769,-0.226000,-0.711000
770,0.711000,0.226000
771,-0.711000,0.226000
772,0.711000,-0.226000
773,-0.226000,0.711000
774,0.226000,0.711000
775,-0.711000,-0.226000
776,0.226000,-0.711000
777,0.627000,0.417000
778,0.627000,-0.417000
779,0.417000,-0.627000
780,-0.417000,-0.627000
781,0.417000,0.627000
782,-0.627000,-0.417000
783,-0.417000,0.627000
784,-0.627000,0.417000
785,0.286000,-0.699000
786,-0.699000,-0.286000
787,-0.286000,-0.699000
788,-0.699000,0.286000
789,0.699000,-0.286000
790,0.286000,0.699000
791,0.699000,0.286000
792,-0.286000,0.699000
